block_number,worker_id,nonces_tested,percentage
1,0,200000,25.269786558747832
1,1,200000,25.269786558747832
1,2,191459,24.190640323756504
1,3,200000,25.269786558747832
2,0,300000,25.048343302573965
2,1,297684,24.854970092278098
2,2,300000,25.048343302573965
2,3,300000,25.048343302573965
3,0,250000,25.15591636965915
3,1,243802,24.53225089102256
3,2,250000,25.15591636965915
3,3,250000,25.15591636965915
4,0,710000,25.030353710626546
4,1,710000,25.030353710626546
4,2,706556,24.90893886812035
4,3,710000,25.030353710626546
5,0,280000,25.090864774576506
5,1,280000,25.090864774576506
5,2,275944,24.727405676270493
5,3,280000,25.090864774576506
6,0,80000,25.28093438333481
6,1,80000,25.28093438333481
6,2,76444,24.15719684999558
6,3,80000,25.28093438333481
7,0,90000,25.36411597601118
7,1,90000,25.36411597601118
7,2,90000,25.36411597601118
7,3,84832,23.90765207196645
8,0,150000,25.40263171264543
8,1,150000,25.40263171264543
8,2,150000,25.40263171264543
8,3,140490,23.79210486206371
9,0,390000,25.12693936482963
9,1,390000,25.12693936482963
9,2,390000,25.12693936482963
9,3,382119,24.619181905511113
10,0,1080000,25.300905069598574
10,1,1068622,25.034355349337563
10,2,1060000,24.83236979053193
10,3,1060000,24.83236979053193
11,0,180000,25.30951426823867
11,1,180000,25.30951426823867
11,2,171195,24.071457195283994
11,3,180000,25.30951426823867
12,0,290912,24.84490721762182
12,1,290000,24.767019212374628
12,2,300000,25.621054357628925
12,3,290000,24.767019212374628
13,0,800000,25.11603608672065
13,1,795216,24.96584219092206
13,2,800000,25.11603608672065
13,3,790000,24.802085635636644
14,0,12662,17.425889736038094
14,1,20000,27.524703421320634
14,2,20000,27.524703421320634
14,3,20000,27.524703421320634
15,0,40000,25.66866882283485
15,1,40000,25.66866882283485
15,2,40000,25.66866882283485
15,3,35832,22.99399353149546
16,0,943411,24.869728062685535
16,1,960000,25.307038968358558
16,2,940000,24.779808989851087
16,3,950000,25.043423979104823
17,0,112145,24.266193510694695
17,1,120000,25.965876510618962
17,2,110000,23.80205346806738
17,3,120000,25.965876510618962
18,0,90000,25.212485222682275
18,1,90000,25.212485222682275
18,2,90000,25.212485222682275
18,3,86966,24.362544331953185
19,0,210000,25.11255807279054
19,1,210000,25.11255807279054
19,2,210000,25.11255807279054
19,3,206235,24.66232578162837
20,0,26239,22.57331876564664
20,1,30000,25.80889374478445
20,2,30000,25.80889374478445
20,3,30000,25.80889374478445
