block_number,worker_id,nonces_tested,percentage
1,0,20000,59.1261160054396
1,1,13826,40.873883994560394
2,0,20000,53.650946939213476
2,1,17278,46.349053060786524
3,0,13297,39.93452863621347
3,1,20000,60.06547136378653
4,0,50000,53.85493634346524
4,1,42842,46.14506365653476
5,0,52166,46.50785443004119
5,1,60000,53.492145569958815
6,0,10000,52.83736658564937
6,1,8926,47.16263341435063
7,0,10245,41.459269151390075
7,1,14466,58.54073084860993
8,0,40000,55.370985603543744
8,1,32240,44.629014396456256
9,0,27908,48.193686537266004
9,1,30000,51.80631346273399
10,0,30000,53.12461263303289
10,1,26471,46.87538736696711
11,0,10000,56.3729635266926
11,1,7739,43.6270364733074
12,0,30000,56.81602969584485
12,1,22802,43.183970304155146
13,0,2653,20.967359519481548
13,1,10000,79.03264048051845
14,0,38680,49.161159125571935
14,1,40000,50.83884087442806
15,0,75078,48.41305665536053
15,1,80000,51.586943344639465
16,0,58922,49.5467617429912
16,1,60000,50.45323825700879
17,0,114162,48.75342711456172
17,1,120000,51.24657288543829
18,0,20000,61.7875127436745
18,1,12369,38.212487256325495
19,0,10000,97.68486861385172
19,1,237,2.315131386148286
20,0,1716,14.646637077500854
20,1,10000,85.35336292249914
