block_number,worker_id,nonces_tested,percentage
1,0,10000,9.08719160343496
1,1,10000,9.08719160343496
1,2,10000,9.08719160343496
1,3,10000,9.08719160343496
1,4,10000,9.08719160343496
1,5,10000,9.08719160343496
1,6,45,0.04089236221545731
1,7,10000,9.08719160343496
1,8,10000,9.08719160343496
1,9,10000,9.08719160343496
1,10,10000,9.08719160343496
1,11,10000,9.08719160343496
2,0,50000,8.379729100117652
2,1,50000,8.379729100117652
2,2,50000,8.379729100117652
2,3,50000,8.379729100117652
2,4,50000,8.379729100117652
2,5,50000,8.379729100117652
2,6,46678,7.822979898705834
2,7,50000,8.379729100117652
2,8,50000,8.379729100117652
2,9,50000,8.379729100117652
2,10,50000,8.379729100117652
2,11,50000,8.379729100117652
3,0,47681,7.977667016351532
3,1,50000,8.365666634877133
3,2,50000,8.365666634877133
3,3,50000,8.365666634877133
3,4,50000,8.365666634877133
3,5,50000,8.365666634877133
3,6,50000,8.365666634877133
3,7,50000,8.365666634877133
3,8,50000,8.365666634877133
3,9,50000,8.365666634877133
3,10,50000,8.365666634877133
3,11,50000,8.365666634877133
4,0,40000,8.44150773769703
4,1,40000,8.44150773769703
4,2,40000,8.44150773769703
4,3,40000,8.44150773769703
4,4,40000,8.44150773769703
4,5,40000,8.44150773769703
4,6,40000,8.44150773769703
4,7,40000,8.44150773769703
4,8,33849,7.143414885332669
4,9,40000,8.44150773769703
4,10,40000,8.44150773769703
4,11,40000,8.44150773769703
5,0,60000,8.401302201841284
5,1,60000,8.401302201841284
5,2,60000,8.401302201841284
5,3,54175,7.585675779745861
5,4,60000,8.401302201841284
5,5,60000,8.401302201841284
5,6,60000,8.401302201841284
5,7,60000,8.401302201841284
5,8,60000,8.401302201841284
5,9,60000,8.401302201841284
5,10,60000,8.401302201841284
5,11,60000,8.401302201841284
6,0,10000,8.924746537198343
6,1,10000,8.924746537198343
6,2,10000,8.924746537198343
6,3,10000,8.924746537198343
6,4,2048,1.8277880908182207
6,5,10000,8.924746537198343
6,6,10000,8.924746537198343
6,7,10000,8.924746537198343
6,8,10000,8.924746537198343
6,9,10000,8.924746537198343
6,10,10000,8.924746537198343
6,11,10000,8.924746537198343
7,0,70000,8.735226548100524
7,1,70000,8.735226548100524
7,2,70000,8.735226548100524
7,3,70000,8.735226548100524
7,4,61353,7.656176491508735
7,5,70000,8.735226548100524
7,6,70000,8.735226548100524
7,7,60000,7.487337041229021
7,8,60000,7.487337041229021
7,9,60000,7.487337041229021
7,10,70000,8.735226548100524
7,11,70000,8.735226548100524
8,0,30000,9.2365953909389
8,1,30000,9.2365953909389
8,2,19364,5.961914438338028
8,3,20000,6.157730260625933
8,4,30000,9.2365953909389
8,5,30000,9.2365953909389
8,6,25431,7.829861912898906
8,7,30000,9.2365953909389
8,8,30000,9.2365953909389
8,9,20000,6.157730260625933
8,10,30000,9.2365953909389
8,11,30000,9.2365953909389
9,0,120000,8.36100594049472
9,1,120000,8.36100594049472
9,2,115234,8.028934654558071
9,3,120000,8.36100594049472
9,4,120000,8.36100594049472
9,5,120000,8.36100594049472
9,6,120000,8.36100594049472
9,7,120000,8.36100594049472
9,8,120000,8.36100594049472
9,9,120000,8.36100594049472
9,10,120000,8.36100594049472
9,11,120000,8.36100594049472
10,0,50000,8.417664300180643
10,1,50000,8.417664300180643
10,2,50000,8.417664300180643
10,3,50000,8.417664300180643
10,4,50000,8.417664300180643
10,5,50000,8.417664300180643
10,6,43989,7.405692698012927
10,7,50000,8.417664300180643
10,8,50000,8.417664300180643
