block_number,worker_id,nonces_tested,percentage
10,9,50000,8.417664300180643
10,10,50000,8.417664300180643
10,11,50000,8.417664300180643
11,0,70000,8.354657602261009
11,1,70000,8.354657602261009
11,2,70000,8.354657602261009
11,3,70000,8.354657602261009
11,4,70000,8.354657602261009
11,5,70000,8.354657602261009
11,6,70000,8.354657602261009
11,7,70000,8.354657602261009
11,8,70000,8.354657602261009
11,9,70000,8.354657602261009
11,10,67856,8.0987663751289
11,11,70000,8.354657602261009
12,0,45407,7.626211986086828
12,1,50000,8.397617092173924
12,2,50000,8.397617092173924
12,3,50000,8.397617092173924
12,4,50000,8.397617092173924
12,5,50000,8.397617092173924
12,6,50000,8.397617092173924
12,7,50000,8.397617092173924
12,8,50000,8.397617092173924
12,9,50000,8.397617092173924
12,10,50000,8.397617092173924
12,11,50000,8.397617092173924
13,0,180000,8.35989535268773
13,1,180000,8.35989535268773
13,2,180000,8.35989535268773
13,3,180000,8.35989535268773
13,4,180000,8.35989535268773
13,5,180000,8.35989535268773
13,6,180000,8.35989535268773
13,7,180000,8.35989535268773
13,8,173137,8.041151120434975
13,9,180000,8.35989535268773
13,10,180000,8.35989535268773
13,11,180000,8.35989535268773
14,0,50000,8.91472177153351
14,1,50000,8.91472177153351
14,2,50000,8.91472177153351
14,3,40000,7.131777417226809
14,4,40870,7.286893576051491
14,5,50000,8.91472177153351
14,6,40000,7.131777417226809
14,7,50000,8.91472177153351
14,8,50000,8.91472177153351
14,9,50000,8.91472177153351
14,10,50000,8.91472177153351
14,11,40000,7.131777417226809
15,0,20000,8.594646394760703
15,1,20000,8.594646394760703
15,2,20000,8.594646394760703
15,3,20000,8.594646394760703
15,4,20000,8.594646394760703
15,5,20000,8.594646394760703
15,6,20000,8.594646394760703
15,7,12703,5.458889657632261
15,8,20000,8.594646394760703
15,9,20000,8.594646394760703
15,10,20000,8.594646394760703
15,11,20000,8.594646394760703
16,0,18524,7.766094816454529
16,1,20000,8.384900471231406
16,2,20000,8.384900471231406
16,3,20000,8.384900471231406
16,4,20000,8.384900471231406
16,5,20000,8.384900471231406
16,6,20000,8.384900471231406
16,7,20000,8.384900471231406
16,8,20000,8.384900471231406
16,9,20000,8.384900471231406
16,10,20000,8.384900471231406
16,11,20000,8.384900471231406
17,0,70000,8.351906382288231
17,1,70000,8.351906382288231
17,2,70000,8.351906382288231
17,3,70000,8.351906382288231
17,4,70000,8.351906382288231
17,5,70000,8.351906382288231
17,6,70000,8.351906382288231
17,7,70000,8.351906382288231
17,8,70000,8.351906382288231
17,9,68132,8.129029794829453
17,10,70000,8.351906382288231
17,11,70000,8.351906382288231
18,0,100000,7.929050852967645
18,1,110000,8.72195593826441
18,2,100000,7.929050852967645
18,3,100000,7.929050852967645
18,4,110000,8.72195593826441
18,5,110000,8.72195593826441
18,6,100000,7.929050852967645
18,7,100000,7.929050852967645
18,8,101185,8.023010105575313
18,9,110000,8.72195593826441
18,10,110000,8.72195593826441
18,11,110000,8.72195593826441
19,0,76152,7.964424066466419
19,1,80000,8.366870539412144
19,2,80000,8.366870539412144
19,3,80000,8.366870539412144
19,4,80000,8.366870539412144
19,5,80000,8.366870539412144
19,6,80000,8.366870539412144
19,7,80000,8.366870539412144
19,8,80000,8.366870539412144
19,9,80000,8.366870539412144
19,10,80000,8.366870539412144
19,11,80000,8.366870539412144
20,0,30000,8.434642764763437
20,1,30000,8.434642764763437
20,2,25676,7.218929587602199
20,3,30000,8.434642764763437
20,4,30000,8.434642764763437
20,5,30000,8.434642764763437
20,6,30000,8.434642764763437
20,7,30000,8.434642764763437
20,8,30000,8.434642764763437
20,9,30000,8.434642764763437
20,10,30000,8.434642764763437
20,11,30000,8.434642764763437
