block_number,worker_id,nonces_tested,percentage
1,0,110000,52.34854613810498
1,1,100130,47.651453861895014
2,0,56340,48.4270242392986
2,1,60000,51.57297576070139
3,0,1030000,50.07065796247423
3,1,1027093,49.92934203752577
4,0,50000,50.67961361862577
4,1,48659,49.32038638137423
5,0,120000,52.05734984708153
5,1,110515,47.94265015291847
6,0,536017,49.81491928101507
6,1,540000,50.18508071898492
7,0,1092046,50.04688260467469
7,1,1090000,49.9531173953253
8,0,580000,50.13176876116621
8,1,576951,49.8682312388338
9,0,700805,49.67412222100149
9,1,710000,50.32587777899852
10,0,363818,49.57877838919187
10,1,370000,50.42122161080813
11,0,1000000,50.06052317251557
11,1,997582,49.93947682748443
12,0,497899,49.89472882526187
12,1,500000,50.10527117473812
13,0,970000,50.16515714364766
13,1,963613,49.83484285635233
14,0,279531,49.08091043332145
14,1,290000,50.919089566678544
15,0,420000,50.034368846219365
15,1,419423,49.965631153780635
16,0,210000,50.22601707684581
16,1,208110,49.77398292315419
17,0,1344439,49.712306323048885
17,1,1360000,50.287693676951115
18,0,440000,49.942679424751134
18,1,441010,50.057320575248866
19,0,526849,49.850924777333375
19,1,530000,50.149075222666625
20,0,405179,49.70429807441065
20,1,410000,50.295701925589356
